fold,test_year,model,seed,observations,mae,rmse,mean_error,directional_accuracy,directional_coverage,pearson_correlation,mae_ratio_vs_zero
all,2018-2025,lstm,7,2922,0.0229653303005,0.0346496839365,0.001733544186,0.52772073922,1,0.0450671529721,1.00581903061
all,2018-2025,lstm,17,2922,0.0228830031792,0.034633287659,0.00153094905284,0.525667351129,1,0.025780902946,1.00221332652
all,2018-2025,lstm,29,2922,0.0229498548183,0.0346805619715,0.00103712014977,0.51916495551,1,0.0234609826999,1.00514124656
