datetime,market_price_usd,24h,1d_1w,1w_1m,1m_3m,3m_6m,6m_12m,1y_2y,2y_3y,3y_5y,5y_7y,7y_10y,10y
2010-08-17,0.07,0.00847147109467811,0.033013761896498794,0.10206505866492252,0.2075026762950999,0.15574091327736028,0.2147538742875449,0.2784521537167799,0.0,0.0,0.0,0.0,0.0
2010-08-18,0.068,0.008731056628914057,0.03063493670886076,0.1034090872751499,0.2089746035976016,0.15458576948700867,0.2155058760826116,0.2781585609593604,0.0,0.0,0.0,0.0,0.0
2010-08-19,0.0667,0.0056228955243732125,0.03354671809536477,0.1027891733723482,0.20103267939083594,0.16272743233357717,0.2164223714836736,0.27785861541530893,0.0,0.0,0.0,0.0,0.0
2010-08-20,0.0655,0.007080798110854626,0.03031428268194964,0.10452829738119876,0.2017946881052827,0.15993584334951844,0.21857528721908248,0.2777707023269389,0.0,0.0,0.0,0.0,0.0
2010-08-21,0.0664,0.010085441622215457,0.02938073619144684,0.101510820505354,0.2028672817037498,0.1576503818612593,0.22017969318738337,0.2783256343397175,0.0,0.0,0.0,0.0,0.0
2010-08-22,0.0659289888953828,0.005493507384871243,0.03541895120309386,0.10032614864775682,0.20383458944339586,0.15578374668373746,0.22131906075524993,0.2778240038013278,0.0,0.0,0.0,0.0,0.0
2010-08-23,0.06491,0.0061587501316205115,0.030077471833210488,0.09789599347162262,0.2116293039907339,0.15471785827103296,0.22168574286616827,0.27783484258186797,0.0,0.0,0.0,0.0,0.0
2010-08-24,0.065,0.006379989762570383,0.030161646388681077,0.09449239411479046,0.21505671273509994,0.15275326482130436,0.22323891273247495,0.27791707682009686,0.0,0.0,0.0,0.0,0.0
2010-08-25,0.0648,0.005441938565838208,0.02901841454317013,0.0949355425550015,0.21577638174512806,0.15164937767482037,0.22515693588283797,0.2780213854751528,0.0,0.0,0.0,0.0,0.0
2010-08-26,0.0640751139684395,0.005914473289217797,0.02805560123732331,0.09470198519910725,0.21635005286033127,0.15175579832152133,0.22508824412336687,0.2781338345275853,0.0,0.0,0.0,0.0,0.0
