datetime,market_price_usd,24h,1d_1w,1w_1m,1m_3m,3m_6m,6m_12m,1y_2y,2y_3y,3y_5y,5y_7y,7y_10y,10y
2010-08-17,0.07,0.011293660114425086,0.04164775884601878,0.12034869944256825,0.20257495730822284,0.1497862327535042,0.2065428812420843,0.2678058102931767,0.0,0.0,0.0,0.0,0.0
2010-08-18,0.068,0.011295646027069985,0.03901931570352317,0.12104911456212598,0.20580599228542806,0.14852385378426886,0.20705506392895473,0.2672510137086291,0.0,0.0,0.0,0.0,0.0
2010-08-19,0.0667,0.007131468968553459,0.04262706003449776,0.12018277284414854,0.19916594733497964,0.15625908001840538,0.20781968570543827,0.26681398509397664,0.0,0.0,0.0,0.0,0.0
2010-08-20,0.0655,0.008813583040132023,0.038685650073233345,0.12149524524015584,0.20119367581500075,0.15348507731295127,0.2097593913506383,0.2665673771678884,0.0,0.0,0.0,0.0,0.0
2010-08-21,0.0664,0.012712314481780831,0.03716802148363743,0.1184118054178411,0.20269441970164448,0.1511290733152019,0.21107183959366402,0.2668125260062301,0.0,0.0,0.0,0.0,0.0
2010-08-22,0.0659289888953828,0.006867787499011368,0.044798215956543846,0.11714530586921591,0.20403371325666209,0.14917781035112407,0.2119341501485436,0.26604301691889903,0.0,0.0,0.0,0.0,0.0
2010-08-23,0.06491,0.0075758235893166465,0.038154173868860275,0.11609084127372112,0.2120656108725574,0.14806672401473106,0.21215575977847465,0.26589106660233885,0.0,0.0,0.0,0.0,0.0
2010-08-24,0.065,0.007853015889285482,0.037844351770988056,0.11381283051402513,0.21515585593556447,0.1460780632267282,0.2134835617752034,0.26577232088820535,0.0,0.0,0.0,0.0,0.0
2010-08-25,0.0648,0.006673305259823013,0.036117193479556366,0.11531088771277496,0.21610550307773924,0.14492536117661944,0.21517363606523113,0.26569411322825587,0.0,0.0,0.0,0.0,0.0
2010-08-26,0.0640751139684395,0.007167549013111658,0.03478149137941331,0.11547733693426679,0.21699309030209488,0.14494455684791546,0.21498561446879275,0.26565036105440504,0.0,0.0,0.0,0.0,0.0
2010-08-27,0.065,0.010276969521350023,0.031756356620883615,0.11570024649992514,0.21762911634383605,0.14314287634437523,0.21582014788766238,0.26567428678196753,0.0,0.0,0.0,0.0,0.0
2010-08-28,0.0646,0.006544785355763547,0.029634805566296208,0.12175701617900996,0.21778693114202002,0.14238192086560755,0.2162602993960553,0.26563424149524734,0.0,0.0,0.0,0.0,0.0
2010-08-29,0.064,0.0049536515798506995,0.03189789763650039,0.11996555248282122,0.21942819175491662,0.14126134573885768,0.21684407371871622,0.2656492870883372,0.0,0.0,0.0,0.0,0.0
2010-08-30,0.06497,0.006305201228959284,0.03015705312910747,0.11988017311585299,0.22051990888910575,0.13937141897373204,0.21815638564243575,0.2656098590208067,0.0,0.0,0.0,0.0,0.0
2010-08-31,0.06,0.011847523166164026,0.028220893655416867,0.11879352596184649,0.21905030670823478,0.13824980434483314,0.21811563046893717,0.2657223156945675,0.0,0.0,0.0,0.0,0.0
2010-09-01,0.0620248275862069,0.008956953443810532,0.03403134553627632,0.10076789399159303,0.23446970420897753,0.13765329050036945,0.21820582755577736,0.2659149847631959,0.0,0.0,0.0,0.0,0.0
2010-09-02,0.0634,0.008518565112905711,0.03444301803598299,0.10028514297485039,0.23335630826242026,0.13363075296477067,0.22376374555578885,0.26600246709328107,0.0,0.0,0.0,0.0,0.0
2010-09-03,0.06085,0.007380241708334959,0.033391730135384566,0.1018364911349719,0.23488879864642606,0.1312797807355833,0.22512622450169614,0.26609673313760324,0.0,0.0,0.0,0.0,0.0
2010-09-04,0.062178275862069,0.007436944863908304,0.03353691710500401,0.10024888497188136,0.2370453915855883,0.13075303122596876,0.2249772990347557,0.26600153121289366,0.0,0.0,0.0,0.0,0.0
2010-09-05,0.06165,0.023193980388249467,0.035639331504799796,0.09837070270348486,0.21950961245472722,0.13282266535855322,0.22449263013367277,0.2659710774565128,0.0,0.0,0.0,0.0,0.0
2010-09-06,0.0616,0.022907297845482774,0.038620498656310655,0.09622991879133493,0.21865876222489855,0.13249521248371063,0.22494781366554606,0.26614049633271647,0.0,0.0,0.0,0.0,0.0
2010-09-07,0.0612391180596142,0.006718712942136905,0.051696757471198784,0.09979374427436137,0.21537326102554336,0.1352627786291534,0.22497403406617905,0.2661807115914272,0.0,0.0,0.0,0.0,0.0
2010-09-08,0.061,0.006812400904588397,0.048584377244013766,0.09546628325717708,0.22089878963727297,0.1372780583350162,0.22469596892630872,0.26626412169562275,0.0,0.0,0.0,0.0,0.0
2010-09-09,0.0611149707773232,0.009619447249823795,0.047997821059390655,0.09520427701426996,0.2195882653810674,0.13674481072510009,0.22442986817939087,0.26641551039095723,0.0,0.0,0.0,0.0,0.0
2010-09-10,0.0610115242548218,0.00557826770370393,0.050641345464619486,0.09206726785447068,0.22460608363660972,0.13662717324733206,0.22427673876530796,0.26620312332795626,0.0,0.0,0.0,0.0,0.0
2010-09-11,0.0636208649912332,0.004461830414800215,0.04999974725243365,0.09285372908861544,0.22610373301130296,0.13622399687625297,0.22412154957559016,0.2662354137810046,0.0,0.0,0.0,0.0,0.0
2010-09-12,0.0615,0.0077200502585970145,0.04534533331760937,0.09213203912040084,0.22844515373058022,0.13633775425754788,0.22239998197465194,0.26761968734061264,0.0,0.0,0.0,0.0,0.0
2010-09-13,0.06218,0.02225957051997784,0.028849649304151088,0.09368128920351569,0.22845654599685794,0.13703844388341713,0.22200420971256415,0.2677102913795162,0.0,0.0,0.0,0.0,0.0
2010-09-14,0.06199,0.008412057290514767,0.04353821730391027,0.09340528729811011,0.22452863813161272,0.14072158682856498,0.22172615713149024,0.2676680560157968,0.0,0.0,0.0,0.0,0.0
2010-09-15,0.0604,0.009973221074540406,0.04497683943556178,0.09066079465865479,0.22482153138603453,0.13916909484796644,0.22233815779913307,0.2680603607981091,0.0,0.0,0.0,0.0,0.0
2010-09-16,0.0619,0.010183895738273024,0.045215089389395544,0.09227654418431737,0.2244192060089423,0.1378710440154575,0.22217380405298612,0.2678604166106281,0.0,0.0,0.0,0.0,0.0
2010-09-17,0.0600005260081823,0.014766937850236013,0.04831966364194455,0.09228779843331829,0.21914765242614467,0.14183607479524818,0.2196004682395599,0.26404140461354836,0.0,0.0,0.0,0.0,0.0
2010-09-18,0.061,0.010204126669100758,0.057606147099375914,0.08975556500507478,0.21765413535020803,0.14110251215383163,0.22016718647359873,0.26351032724881013,0.0,0.0,0.0,0.0,0.0
2010-09-19,0.0627,0.012141023349746783,0.05696912982870333,0.08680041575681391,0.22036123873068586,0.14013279605627618,0.22009203279953538,0.2635033634782386,0.0,0.0,0.0,0.0,0.0
2010-09-20,0.0621017358270018,0.010975612133329633,0.0452416570141073,0.09622536003777961,0.2247465840473971,0.1393568142463299,0.2196736701384279,0.2637803023826285,0.0,0.0,0.0,0.0,0.0
2010-09-21,0.06265,0.006804563105415178,0.048360783646149236,0.09831831487334496,0.22396412440628138,0.13890888869105905,0.21970808291393099,0.2639352423638193,0.0,0.0,0.0,0.0,0.0
2010-09-22,0.061881870251315,0.011731542353299994,0.043129212465636876,0.09909968451117755,0.22299199596488517,0.13885991554326266,0.22015190221604106,0.2640357469456968,0.0,0.0,0.0,0.0,0.0
2010-09-23,0.062153512565751,0.02509607587315622,0.0407066908965789,0.08934521037966016,0.22245725459731158,0.13868252947886986,0.219827096793015,0.263885141981408,0.0,0.0,0.0,0.0,0.0
2010-09-24,0.0622,0.006617373413016143,0.052040931309211044,0.0971002477331738,0.2187409501545609,0.14217802779209454,0.21919709730983408,0.2641253722881092,0.0,0.0,0.0,0.0,0.0
2010-09-25,0.06202,0.009399117460184337,0.04792559759766609,0.09969116390017997,0.21833960028116395,0.140779299851863,0.2198446457920051,0.2640205751169375,0.0,0.0,0.0,0.0,0.0
2010-09-26,0.062,0.007802234210990386,0.04846536030052135,0.09749448527096495,0.22240603756583438,0.14006380044670022,0.2197455297580994,0.26402255244688916,0.0,0.0,0.0,0.0,0.0
