datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,fear_greed_category,lightning_nodes,lightning_capacity_usd
2010-08-18,0.068,3752500,255170.00000000003,197235.61756988795,0.22704229505863568,518934.7041023147,726.0,0.0,0,0.0,0.0
2010-08-19,0.0667,3759250,250741.97499999998,197700.6329575296,0.2115375458874422,103069.41122210649,470.0,0.0,0,0.0,0.0
2010-08-20,0.0655,3768900,246862.95,198328.7276060902,0.19660391481957828,114130.8000100694,656.0,0.0,0,0.0,0.0
2010-08-21,0.0664,3777550,250829.32,198997.94546662425,0.20664001534340465,484765.62325509265,528.0,0.0,0,0.0,0.0
2010-08-22,0.0659289888953828,3788150,249748.89928404437,199772.84168372597,0.20010521665394665,512537.47550567094,586.0,0.0,0,0.0,0.0
2010-08-23,0.06491,3798800,246580.10799999998,200456.78924487496,0.18705206648350167,50252.54241712957,653.0,0.0,0,0.0,0.0
2010-08-24,0.065,3809550,247620.75,201173.39277964225,0.18757457612238776,137237.24120752307,632.0,0.0,0,0.0,0.0
2010-08-25,0.0648,3820350,247558.68,201878.8404766801,0.1845212598617826,48910.622292939835,499.0,0.0,0,0.0,0.0
2010-08-26,0.0640751139684395,3830850,245462.15034599646,202548.92290163448,0.17482625074323158,50960.63497557872,652.0,0.0,0,0.0,0.0
2010-08-27,0.065,3839400,249561.0,203157.95387566084,0.1859386928419872,472908.77622939815,497.0,0.0,0,0.0,0.0
2010-08-28,0.0646,3847900,248574.34000000003,203701.88043309236,0.18051927470433055,65881.99129573951,527.0,0.0,0,0.0,0.0
2010-08-29,0.064,3856000,246784.0,204213.1190887045,0.17250259705368057,87953.46098321758,390.0,0.0,0,0.0,0.0
2010-08-30,0.06497,3863450,251008.3465,204709.2479942197,0.1844524261896618,95110.39851597846,522.0,0.0,0,0.0,0.0
2010-08-31,0.06,3872650,232359.0,205164.24959454243,0.11703764607980569,1024619.3865017375,734.0,0.0,0,0.0,0.0
2010-09-01,0.0620248275862069,3880500,240687.34344827587,205623.31058060715,0.14568291113821713,300110.4724194778,603.0,0.0,0,0.0,0.0
2010-09-02,0.0634,3888300,246518.22,206134.72160305787,0.16381547131462385,139697.77310554407,543.0,0.0,0,0.0,0.0
2010-09-03,0.06085,3896500,237102.025,206593.08309347855,0.12867432029111286,434800.78389479173,500.0,0.0,0,0.0,0.0
2010-09-04,0.062178275862069,3905550,242840.36529310356,207141.644067834,0.14700489015564575,114442.39273634258,451.0,0.0,0,0.0,0.0
2010-09-05,0.06165,3913800,241285.77000000002,207734.97264579023,0.13905004573709334,2232365.0589663195,548.0,0.0,0,0.0,0.0
2010-09-06,0.0616,3921700,241576.72,208134.03169861992,0.13843506237430528,379047.702338195,511.0,0.0,0,0.0,0.0
2010-09-07,0.0612391180596142,3929700,240651.3622388659,208614.83226190484,0.13312424113835772,326472.8627398147,403.0,0.0,0,0.0,0.0
2010-09-08,0.061,3937950,240214.94999999998,209108.98225953276,0.12949222244688446,98229.31706818029,545.0,0.0,0,0.0,0.0
2010-09-09,0.0611149707773232,3944700,241080.22522530684,209615.68422968048,0.1305148150007761,962060.0235948464,514.0,0.0,0,0.0,0.0
2010-09-10,0.0610115242548218,3953550,241212.11171765073,210152.84794791497,0.12876328451571278,43005.24623928313,541.0,0.0,0,0.0,0.0
2010-09-11,0.0636208649912332,3961550,252037.2377060199,210658.6580781974,0.1641764526719941,95922.23807442127,433.0,0.0,0,0.0,0.0
2010-09-12,0.0615,3970400,244179.6,211210.7357335748,0.13501891339991218,369866.08206664096,711.0,0.0,0,0.0,0.0
2010-09-13,0.06218,3978950,247411.111,211780.61839851303,0.14401330828463468,528332.906623051,718.0,0.0,0,0.0,0.0
2010-09-14,0.06199,3989100,247284.309,212408.3348094577,0.14103593685979607,187087.5803614584,664.0,0.0,0,0.0,0.0
2010-09-15,0.0604,3997550,241452.02000000002,212766.26238280573,0.11880520865882295,805943.8358344751,662.0,0.0,0,0.0,0.0
2010-09-16,0.0619,4008500,248126.15,213518.95432589555,0.13947419759708699,893233.8314331016,685.0,0.0,0,0.0,0.0
2010-09-17,0.0600005260081823,4018900,241136.11397428386,214331.2566558594,0.11116069209476881,10098698.590217937,1003.0,0.0,0,0.0,0.0
2010-09-18,0.061,4030750,245875.75,215041.10162064215,0.12540744005603582,320951.15963460633,562.0,0.0,0,0.0,0.0
2010-09-19,0.0627,4041200,253383.24000000002,215746.30133590303,0.14853760124030693,245996.71871323348,654.0,0.0,0,0.0,0.0
2010-09-20,0.0621017358270018,4051350,251595.86744272374,216352.5879093784,0.14007892852758616,369070.19436215336,705.0,0.0,0,0.0,0.0
2010-09-21,0.06265,4059950,254355.8675,216904.81933097015,0.14723878217210715,131528.24300379783,1216.0,0.0,0,0.0,0.0
2010-09-22,0.061881870251315,4068650,251775.67139801278,217453.4195621946,0.1363207638182037,329826.0423730325,1039.0,0.0,0,0.0,0.0
2010-09-23,0.062153512565751,4080350,253608.0849976621,218199.48113659545,0.13961938106741775,933676.5419484953,1049.0,0.0,0,0.0,0.0
2010-09-24,0.0622,4091750,254506.85,218918.76785289505,0.13983152967043896,96387.28295856483,807.0,0.0,0,0.0,0.0
2010-09-25,0.06202,4102100,254412.242,219617.73636133663,0.1367642742547875,376561.2020082175,825.0,0.0,0,0.0,0.0
