Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,realized_volatility,exchange_netflow_proxy,funding_rate_proxy,macro_interaction_proxy
2013-10-01,123.65498999999998,89218,1309351515956620.0,9220600.0,18656301,6.39173596179762e+17,39.13974553,3747387.0,124.589996,47.43,20.41,169.339996,105.800003,21.610001,1.738484455,3,0.0,0.004782191282183965,0.0020485068904322764,21098.069424280016
2013-10-02,125.455,105303,1307159450402430.0,9215825.0,18708039,6.39173596179762e+17,39.92303312,3747387.0,127.059998,47.540001,20.92,169.179993,105.959999,21.530001,1.738484455,3,0.0,0.0056287567072102,0.0020450773596016984,21496.009572220013
2013-10-03,108.58483,89993,1452700445873280.0,9210850.0,18751619,6.39173596179762e+17,36.60294587,3748997.857142857,127.18,47.099998,20.92,167.619995,105.790001,21.51,1.738484455,3,0.0,0.004799212270684468,0.0022727791863678933,21317.9109641
2013-10-04,118.67466,77370,1283409529949880.0,9206350.0,18791964,6.39173596179762e+17,24.77279491,3750608.7142857136,126.529999,47.52,20.93,168.889999,105.709999,21.610001,1.738484455,3,0.0,0.0041171854096783075,0.002007920129399294,21369.65140458
2013-10-05,121.33866,64961,1602048841926960.0,9200875.0,18823649,6.39173596179762e+17,26.06242489,3752219.5714285714,126.529999,47.52,20.93,168.889999,105.709999,21.610001,1.738484455,3,0.0,0.0034510312001674063,0.002506437768240348,21369.65140458
2013-10-06,120.65533,60512,1498212320882360.0,9196250.0,18854508,8.1295677540806e+17,21.15735044,3753830.4285714286,126.529999,47.52,20.93,168.889999,105.709999,21.610001,1.738484455,3,0.0,0.0032094181402134705,0.001842917564873408,21369.65140458
2013-10-07,121.795,76050,1453538761761120.0,9192350.0,18894507,8.1295677540806e+17,32.57715142,3755441.2857142864,127.639999,47.169998,21.530001,167.429993,106.139999,21.549999,1.738484455,3,0.0,0.004024979323355725,0.0017879656160458503,21370.764139090006
2013-10-08,123.033,75519,1523365505193240.0,9188300.0,18936521,8.1295677540806e+17,17.13190379,3757052.142857143,127.400002,46.700001,21.49,165.479996,106.169998,21.559999,1.738484455,3,0.0,0.003988008145741237,0.0018738579359629465,21082.151821359992
2013-10-09,124.049,80026,1573011164177310.0,9183850.0,18981656,8.1295677540806e+17,30.37507628,3758663.0,126.110001,46.490002,21.049999,165.600006,105.32,21.66,1.738484455,3,0.0,0.004215965140238555,0.0019349259539509268,20883.816922260008
2013-10-10,125.96116,79814,1803127140049070.0,9179050.0,19027925,8.1295677540806e+17,31.05788363,3766511.0,124.269997,47.330002,20.83,169.169998,105.489998,21.700001,1.738484455,3,0.0,0.004194571925209922,0.002217986484144865,21022.755143950006
